TABLE_CATALOG,TABLE_SCHEMA,COLUMN_NAME,TABLE_NAME,ORDINAL_POSITION,,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
datadisco,dbo,MicroServiceImplementation,AgentAction,6,6,NULL,YES,nvarchar,100,200,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,AgentActionAuditId,AgentActionAudit,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionEventId,AgentActionAudit,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Action,AgentActionAudit,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,ActionDate,AgentActionAudit,4,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,ActionUserProfileId,AgentActionAudit,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Field,AgentActionAudit,6,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,FieldName,AgentActionAudit,7,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,PreviousValue,AgentActionAudit,8,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,NewValue,AgentActionAudit,9,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,AgentActionId,AgentActionAudit,10,10,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionEventId,AgentActionEvent,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventType,AgentActionEvent,2,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventDateTime,AgentActionEvent,3,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventPayload,AgentActionEvent,4,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventUserProfileId,AgentActionEvent,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionId,AgentActionEvent,6,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredById,AgentActionEvent,7,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredBy_AgentActionEventId,AgentActionEvent,8,8,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionImplementationId,AgentActionImplementation,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionId,AgentActionImplementation,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Name,AgentActionImplementation,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,PythonSource,AgentActionImplementation,4,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,AgentId,AgentActionImplementation,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentVersionId,AgentActionImplementation,6,6,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionImplementationAuditId,AgentActionImplementationAudit,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionImplementationEventId,AgentActionImplementationAudit,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Action,AgentActionImplementationAudit,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,ActionDate,AgentActionImplementationAudit,4,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,ActionUserProfileId,AgentActionImplementationAudit,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Field,AgentActionImplementationAudit,6,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,FieldName,AgentActionImplementationAudit,7,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,PreviousValue,AgentActionImplementationAudit,8,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,NewValue,AgentActionImplementationAudit,9,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,AgentActionImplementationId,AgentActionImplementationAudit,10,10,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionImplementationEventId,AgentActionImplementationEvent,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventType,AgentActionImplementationEvent,2,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventDateTime,AgentActionImplementationEvent,3,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventPayload,AgentActionImplementationEvent,4,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventUserProfileId,AgentActionImplementationEvent,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentActionImplementationId,AgentActionImplementationEvent,6,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredById,AgentActionImplementationEvent,7,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredBy_AgentActionImplementationEventId,AgentActionImplementationEvent,8,8,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentObservableId,AgentObservable,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,MicroServiceAgentId,AgentObservable,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Name,AgentObservable,3,3,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,AgentObservableAuditId,AgentObservableAudit,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentObservableEventId,AgentObservableAudit,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Action,AgentObservableAudit,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,ActionDate,AgentObservableAudit,4,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,ActionUserProfileId,AgentObservableAudit,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Field,AgentObservableAudit,6,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,FieldName,AgentObservableAudit,7,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,PreviousValue,AgentObservableAudit,8,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,NewValue,AgentObservableAudit,9,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,AgentObservableId,AgentObservableAudit,10,10,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentObservableEventId,AgentObservableEvent,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventType,AgentObservableEvent,2,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventDateTime,AgentObservableEvent,3,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventPayload,AgentObservableEvent,4,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventUserProfileId,AgentObservableEvent,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentObservableId,AgentObservableEvent,6,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredById,AgentObservableEvent,7,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredBy_AgentObservableEventId,AgentObservableEvent,8,8,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentVersionId,AgentVersion,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,MicroServiceAgentId,AgentVersion,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Name,AgentVersion,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,Order,AgentVersion,4,4,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentVersionAuditId,AgentVersionAudit,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentVersionEventId,AgentVersionAudit,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Action,AgentVersionAudit,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,ActionDate,AgentVersionAudit,4,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,ActionUserProfileId,AgentVersionAudit,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Field,AgentVersionAudit,6,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,FieldName,AgentVersionAudit,7,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,PreviousValue,AgentVersionAudit,8,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,NewValue,AgentVersionAudit,9,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,AgentVersionId,AgentVersionAudit,10,10,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentVersionEventId,AgentVersionEvent,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventType,AgentVersionEvent,2,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventDateTime,AgentVersionEvent,3,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventPayload,AgentVersionEvent,4,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventUserProfileId,AgentVersionEvent,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,AgentVersionId,AgentVersionEvent,6,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredById,AgentVersionEvent,7,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredBy_AgentVersionEventId,AgentVersionEvent,8,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,HangFire,Key,AggregatedCounter,1,,NULL,NO,nvarchar,100,200,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,HangFire,Value,AggregatedCounter,2,,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,HangFire,ExpireAt,AggregatedCounter,3,,NULL,YES,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,BaseTaskId,BaseTask,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Name,BaseTask,2,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,BaseTaskAuditId,BaseTaskAudit,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,BaseTaskEventId,BaseTaskAudit,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Action,BaseTaskAudit,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,ActionDate,BaseTaskAudit,4,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,ActionUserProfileId,BaseTaskAudit,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Field,BaseTaskAudit,6,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,FieldName,BaseTaskAudit,7,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,PreviousValue,BaseTaskAudit,8,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,NewValue,BaseTaskAudit,9,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,BaseTaskId,BaseTaskAudit,10,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,BaseTaskEventId,BaseTaskEvent,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventType,BaseTaskEvent,2,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventDateTime,BaseTaskEvent,3,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,EventPayload,BaseTaskEvent,4,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,EventUserProfileId,BaseTaskEvent,5,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,BaseTaskId,BaseTaskEvent,6,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredById,BaseTaskEvent,7,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,TriggeredBy_BaseTaskEventId,BaseTaskEvent,8,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,BaseTaskParameterId,BaseTaskParameter,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,BaseTaskId,BaseTaskParameter,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Name,BaseTaskParameter,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,BaseTaskParameterAuditId,BaseTaskParameterAudit,1,,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,BaseTaskParameterEventId,BaseTaskParameterAudit,2,,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
datadisco,dbo,Action,BaseTaskParameterAudit,3,,NULL,YES,nvarchar,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
datadisco,dbo,ActionDate,BaseTaskParameterAudit,4,,NULL,NO,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
